id,product,category,price,quantity,sale_date
1,Mouse,Accessories,336.94,5,1/12/2022
2,Printer,Office Supplies,1654.05,8,4/25/2020
3,Monitor,Accessories,1679.48,2,9/3/2023
4,Tablet,Electronics,1504.72,3,2/9/2022
5,Headphones,Audio,1728.48,9,12/14/2020
6,Monitor,Accessories,313.35,10,4/17/2022
7,Smartphone,Electronics,1397.77,3,8/30/2021
8,Mouse,Accessories,1595.39,5,3/4/2022
9,Laptop,Electronics,235.56,3,10/23/2022
10,Smartphone,Electronics,534.29,4,1/27/2024
11,Smartphone,Electronics,1474.81,2,1/13/2022
12,Smartphone,Electronics,127.17,2,6/11/2022
13,Keyboard,Accessories,325.11,6,5/14/2021
14,Tablet,Electronics,1911.03,9,12/11/2022
15,Printer,Office Supplies,1948.46,7,1/8/2020
16,Smartphone,Electronics,1314.65,5,8/28/2022
17,Printer,Office Supplies,1609.29,9,7/13/2023
18,Headphones,Audio,339.94,4,8/8/2022
19,Headphones,Audio,1485.19,3,2/1/2024
20,Monitor,Accessories,1241.63,3,11/6/2023
21,Keyboard,Accessories,81.05,1,12/23/2023
22,Smartphone,Electronics,717.91,9,12/9/2021
23,Headphones,Audio,166.11,5,12/9/2022
24,Laptop,Electronics,99.92,4,7/5/2022
25,Monitor,Accessories,898.69,1,2/9/2022
26,Keyboard,Accessories,247.69,3,11/26/2023
27,Headphones,Audio,637.79,7,3/28/2022
28,Keyboard,Accessories,1213.88,10,2/19/2020
29,Printer,Office Supplies,1882.58,9,4/12/2022
30,Tablet,Electronics,1579.21,2,7/31/2021
31,Printer,Office Supplies,395.15,6,1/27/2023
32,Keyboard,Accessories,570.23,2,5/22/2023
33,Printer,Office Supplies,1721.2,2,1/18/2022
34,Headphones,Audio,1707.29,5,10/30/2021
35,Laptop,Electronics,1653.78,6,12/8/2021
36,Smartphone,Electronics,484,2,5/26/2021
37,Mouse,Accessories,263.45,4,9/8/2022
38,Laptop,Electronics,1621.74,10,5/17/2020
39,Mouse,Accessories,164.63,5,6/21/2022
40,Printer,Office Supplies,1428.02,2,5/27/2022
41,Laptop,Electronics,900.68,8,3/30/2023
42,Keyboard,Accessories,167.19,9,4/10/2021
43,Tablet,Electronics,1040.31,10,3/22/2021
44,Tablet,Electronics,1566.45,9,9/1/2023
45,Keyboard,Accessories,1810.72,8,6/28/2021
46,Headphones,Audio,874.95,7,9/1/2021
47,Printer,Office Supplies,1910.78,7,6/8/2020
48,Printer,Office Supplies,1859.05,7,5/29/2020
49,Mouse,Accessories,979.78,3,12/3/2023
50,Keyboard,Accessories,1854.13,8,8/27/2022
51,Printer,Office Supplies,305.85,10,12/9/2023
52,Smartphone,Electronics,1935.03,7,11/6/2023
53,Headphones,Audio,1469.7,9,8/19/2023
54,Smartphone,Electronics,1923.05,1,10/10/2020
55,Printer,Office Supplies,1988.76,6,8/3/2021
56,Tablet,Electronics,1108.49,8,7/19/2023
57,Headphones,Audio,1907.63,6,5/12/2021
58,Tablet,Electronics,615.87,8,12/2/2023
59,Monitor,Accessories,569,6,12/28/2023
60,Mouse,Accessories,1754.94,5,9/9/2022
61,Smartphone,Electronics,941.7,9,11/17/2021
62,Tablet,Electronics,1727.01,2,3/13/2023
63,Headphones,Audio,1175.33,7,4/10/2020
64,Printer,Office Supplies,143.74,2,11/2/2020
65,Smartphone,Electronics,723.73,3,4/17/2020
66,Monitor,Accessories,954.28,10,3/2/2021
67,Printer,Office Supplies,272.32,5,5/29/2021
68,Smartphone,Electronics,291.63,2,12/12/2020
69,Smartphone,Electronics,473.98,10,10/31/2020
70,Laptop,Electronics,1566.41,10,12/7/2021
71,Mouse,Accessories,1569.06,6,10/14/2020
72,Laptop,Electronics,1759.03,9,7/14/2022
73,Printer,Office Supplies,1137.74,3,4/23/2022
74,Laptop,Electronics,1272.37,4,12/23/2020
75,Mouse,Accessories,1523.88,4,1/24/2024
76,Monitor,Accessories,801.85,9,1/31/2021
77,Mouse,Accessories,1625.31,3,3/1/2021
78,Monitor,Accessories,1199.58,9,3/24/2021
79,Monitor,Accessories,1577.8,10,8/22/2020
80,Monitor,Accessories,471.81,10,10/17/2020
81,Laptop,Electronics,1222.12,5,8/1/2020
82,Mouse,Accessories,1717.49,2,10/12/2020
